mainText,mainURL,deptName,deptURL
Access College in Colorado planning resources,https://www.mycoloradojourney.com/journey,Department of Higher Education,https://cdhe.colorado.gov/
Access the Driver's License and ID Card Center,https://mydmv.colorado.gov/_/,Department of Revenue,https://dmv.colorado.gov/
Add emergency contacts to your driver's license or state ID record,https://mydmv.colorado.gov/?Link=EmergencyContact,Department of Revenue,https://revenue.colorado.gov/
Apply for an educator license,https://cool.randasolutions.com/Account/Login?ReturnUrl=/,Department of Education,https://www.cde.state.co.us/
Apply for Health First Colorado and Child Health Plan Plus,https://www.colorado.gov/hcpf/how-to-apply,Department of Health Care Policy & Financing,https://hcpf.colorado.gov/
Apply for the College Opportunity Fund,https://cof.college-assist.org/,Department of Higher Education,https://cdhe.colorado.gov/
Apply online for a Work Opportunity Tax Credit,https://cdle.colorado.gov/work-opportunity-tax-credit,Department of Labor & Employment,https://cdle.colorado.gov/
Apply to be a methamphetamine labs cleanup instructor or training provider,https://cdphe.colorado.gov/methlabcleanup,Department of Public Health & Environment,https://cdphe.colorado.gov/
Begin health facility licensing process,https://cdphe.colorado.gov/health-facilities-licensure-certification-and-registration,Department of Public Health & Environment,https://cdphe.colorado.gov/
Bid on work with the state,https://osc.colorado.gov/spco/accesscolorado,Department of Personnel & Administration,https://dpa.colorado.gov/
"Birth, death and other vital records",https://cdphe.colorado.gov/vitalrecords,Department of Public Health & Environment,https://cdphe.colorado.gov/
"Calculate, file & pay worker's compensation surcharge",https://apps.colorado.gov/apps/cdle/surcharge/payment/calculator/,Department of Labor and Employment,https://cdle.colorado.gov/
Center for Health and Environmental Data,https://cdphe.colorado.gov/center-for-health-and-environmental-data,Department of Public Health & Environment,https://cdphe.colorado.gov/
Change your address/name notification on record with Gaming officials,https://sbg.colorado.gov/address/name-change-notification,Department of Revenue,https://cdor.colorado.gov/
Check the status of a tax refund,https://tax.colorado.gov/where-is-my-refund,Department of Revenue,https://tax.colorado.gov/
colorado.gov/health,http://www.colorado.gov/health,Department of Health Care Policy & Financing,https://hcpf.colorado.gov/
Colorado Child Support Services Application,https://childsupport.state.co.us/siteuser/do/general/application/eAppforservices,Department of Human Services,https://cdhs.colorado.gov/
Colorado Cold Case Database,https://apps.colorado.gov/apps/coldcase/index.html,Colorado Bureau of Investigation,https://cbi.colorado.gov/
Search for convicted sex offenders in the state of Colorado,https://www.colorado.gov/apps/cdps/sor/search-agreement.jsf,Department of Public Safety,https://publicsafety.colorado.gov/
Colorado Division of Professions and Occupations Online Services Portal,https://apps.colorado.gov/dora/licensing/Default.aspx,Department of Education,https://www.cde.state.co.us/
Colorado Courts,https://www.courts.state.co.us/,Colorado Judicial Branch,https://www.courts.state.co.us/
Colorado Law Help,https://lawhelp.colorado.gov/,Colorado Judicial Branch,https://www.courts.state.co.us/
Report telemarketing fraud & register for Colorado's No-Call List,https://www.coloradonocall.com/Default.aspx,Department of Regulatory Agencies,https://dora.colorado.gov/
Colorado Nutrition Portal,https://co.cnpus.com/Colorado/Splash.aspx,Department of Public Health & Environment,https://cdphe.colorado.gov/
Colorado PEAK,https://peak--coloradopeak.force.com/peak/s/peak-landing-page?language=en_US,Colorado Department of Health Care Policy & Financing,https://hcpf.colorado.gov/contact-hcpf
Colorado QuitLine,https://www.coquitline.org/,Department of Public Health & Environment,https://cdphe.colorado.gov/
Colorado Shines,https://www.coloradoshines.com,Department of Human Services,https://cdhs.colorado.gov/
Colorado Volunteer Mobilizer,https://covolunteers.state.co.us/,Department of Public Health & Environment,https://cdphe.colorado.gov/
Connect for Health Colorado,http://www.connectforhealthco.com/,Department of Public Health & Environment,https://cdphe.colorado.gov/
Connecting Colorado,https://www.connectingcolorado.com/,Department of Labor and Employment,https://cdle.colorado.gov/
Control noxious weeds,https://ag.colorado.gov/conservation/noxious-weeds,Department of Agriculture,https://ag.colorado.gov/
Correctional Populations Data,https://ors.colorado.gov/ors-corrpops,Department of Public Safety,https://publicsafety.colorado.gov/
Crime Statistics,https://ors.colorado.gov/ors-crimestats,Department of Public Safety,https://publicsafety.colorado.gov/
Division of Local Government,https://cdola.colorado.gov/local-government,Colorado Department of Local Affairs,https://cdola.colorado.gov/
Driver License and ID Card Renewal,https://mydmv.colorado.gov/,Department of Revenue,https://cdor.colorado.gov/
EMS Provider Certification,https://cdphe.colorado.gov/emergency-care/emergency-medical-services/ems-providers/ems-provider-certification,Department of Regulatory Agencies,https://dora.colorado.gov/
Explore and file business forms,https://www.sos.state.co.us/pubs/business/forms_main.html,Department of State,https://www.sos.state.co.us/
Explore solid waste forms and applications,https://cdphe.colorado.gov/swforms,Department of Public Health & Environment,https://cdphe.colorado.gov
Explore the Colorado Fishing Atlas,http://ndismaps.nrel.colostate.edu/fishingatlas/,Department of Natural Resources,https://dnr.colorado.gov/
Explore the Colorado Hunting Atlas,http://ndismaps.nrel.colostate.edu/huntingatlas,Department of Natural Resources,https://dnr.colorado.gov/
Explore veterans employment resources,https://vets.colorado.gov/employment-0,Department of Military and Veterans Affairs,https://vets.colorado.gov/
Explore veterans employment resources,https://cdle.colorado.gov/jobs-training/veterans,Department of Labor and Employment,https://cdle.colorado.gov/
File a fraud report form,https://www.stopfraudcolorado.gov/about-consumer-protection/report-fraud.html,Department of Law,https://coag.gov/
File an online crash report,https://mydmv.colorado.gov/?Link=AccidentCounterReport,Department of Revenue,https://dmv.colorado.gov/
File your state income taxes online,http://www.colorado.gov/RevenueOnline,Department of Revenue,https://tax.colorado.gov/
Find a child car seat fitting station by county,https://www.codot.gov/safety/carseats/car-seat-fit-recommendations,Department of Transportation,https://www.codot.gov/
Find a DMV location,https://dmv.colorado.gov/driver-license-office-locations,Department of Revenue,https://dmv.colorado.gov/
Find a driving class,https://www.coloradosafedriver.org/,Department of Public Safety,https://csp.colorado.gov/
Find a WIC Clinic,https://www.coloradowic.gov/find-wic-clinic,Department of Public Health & Environment,https://cdphe.colorado.gov/
Find a Women's Wellness Center,https://cdphe.colorado.gov/wwc-wisewoman/clinic-location,Department of Public Health & Environment,https://cdphe.colorado.gov/
Find a workforce center,https://cdle.colorado.gov/wfc,Department of Labor and Employment,https://cdle.colorado.gov/
Find active water rights calls,https://dwr.state.co.us/Tools/AdministrativeCalls/Active,Department of Natural Resources,https://dnr.colorado.gov/
Find an Inmate,http://www.doc.state.co.us/oss/,Department of Corrections,https://cdoc.colorado.gov/
Find and Compare Health Facilities,https://cdphe.colorado.gov/find-and-compare-facilities,Department of Public Health & Environment,https://cdphe.colorado.gov/
Find health facilities by type and by city or county,https://cdphe.colorado.gov/find-and-compare-facilities,Department of Public Health & Environment,https://cdphe.colorado.gov/
Find job fairs / events,https://cdle.colorado.gov/jobs-training/find-a-job/job-fairs/events,Department of Labor and Employment,https://cdle.colorado.gov/
Find out if a site is contaminated,https://cdphe.colorado.gov/if-site-contaminated,Department of Public Health & Environment,https://cdphe.colorado.gov/
Get copies of occupational school student transcripts,https://highered.colorado.gov/DPOS/Payments/Transcript_Request.aspx,Department of Higher Education,https://cdhe.colorado.gov/
Get Vaccinated,https://cdphe.colorado.gov/immunizations/get-vaccinated,Department of Public Health & Environment,https://cdphe.colorado.gov/
Governor's Dashboard,https://dashboard.colorado.gov/,Office of the Governor,https://www.colorado.gov/governor/
Health First Colorado Add-A-Baby Emergent Request Form,https://hcpf.colorado.gov/add-baby,Department of Health Care Policy & Financing,https://hcpf.colorado.gov/
HIV Linkage to Care,https://cdphe.colorado.gov/living-with-hiv,Department of Public Health & Environment,https://cdphe.colorado.gov/
Learn about animal importing,https://ag.colorado.gov/animals/import-requirements,Department of Agriculture,https://ag.colorado.gov/
Learn about industrial hemp (not marijuana),https://ag.colorado.gov/plants/industrial-hemp,Department of Agriculture,https://ag.colorado.gov/
Learn about pet-animal care facility operation and oversight,https://ag.colorado.gov/ics/pacfa,Department of Agriculture,https://ag.colorado.gov/
Learn About WIC,https://www.coloradowic.gov/about,Department of Public Health & Environment,https://cdphe.colorado.gov/
License a measurement standards device,https://ag.colorado.gov/ics/measurement-standards,Department of Agriculture,https://ag.colorado.gov/
Locate Medicaid and Child Health Plan Plus providers,https://www.colorado.gov/hcpf/find-doctor,Department of Health Care Policy & Financing,https://hcpf.colorado.gov/
Make a camping reservation,https://www.cpwshop.com/campinghome.page,Department of Natural Resources,https://dnr.colorado.gov/
Make a Department of Corrections request for records,https://cdoc.colorado.gov/news-and-records/cora/ccjra,Department of Corrections,https://cdoc.colorado.gov/
Make a hazardous materials public records request,https://cdphe.colorado.gov/hmwmd-records-review,Department of Public Health & Environment,https://cdphe.colorado.gov/
Manage livestock brands,https://ag.colorado.gov/brands,Department of Agriculture,https://ag.colorado.gov/
Manage my tax account,https://tax.colorado.gov/ROL-help,Department of Revenue,https://tax.colorado.gov/
Manage or renew your real estate license,https://dre.colorado.gov/,Department of Regulatory Agencies,https://dre.colorado.gov/
Manage your insurance producer license,https://www.sircon.com/landingPages/states/colorado/content.jsp,Department of Regulatory Agencies,https://dora.colorado.gov/
MyBizColorado,https://mybiz.colorado.gov/,Department of State,https://www.sos.state.co.us/
The myColorado App,https://mycolorado.gov/,,
MyUI Employer,https://myuiemployer.coworkforce.com/,Department of Labor and Employment,https://cdle.colorado.gov/
MyUI+,https://myui.clouduim.cdle.state.co.us/Claimant/Core/Login.ASPX,Department of Labor and Employment,https://cdle.colorado.gov/
Notify gaming officials of an arrest,https://sbg.colorado.gov/arrest-notification-form,Department of Revenue,https://cdor.colorado.gov/
Pay a City of Denver parking ticket,https://www.denvergov.org/Government/Agencies-Departments-Offices/Parking-Division/Tickets-and-Towing/Pay-a-Parking-Ticket,City and County of Denver,https://www.denvergov.org/Home
Pay a debt owed to the State of Colorado,https://tax.colorado.gov/collections,Department of Personnel & Administration,https://dpa.colorado.gov/
Pay taxes online,https://tax.colorado.gov/pay,Department of Revenue,https://tax.colorado.gov
Pay your boiler inspection invoice online,https://joportal.com/CO,Department of Labor and Employment,https://cdle.colorado.gov/
Pay your petroleum tank invoice online,https://www.colorado.gov/apps/cdle/ops/payment/storagetanks/index.jsf,Department of Labor and Employment,https://cdle.colorado.gov/
Purchase a Colorado non-resident off-highway vehicle permit online,https://cpw.state.co.us/buyapply/Pages/RegistrationsOHV.aspx,Department of Natural Resources,https://dnr.colorado.gov/
Purchase a fishing license online,https://cpw.state.co.us/buyapply/Pages/Fishing.aspx,Department of Natural Resources,https://dnr.colorado.gov/
Purchase a hunting license online,https://cpw.state.co.us/buyapply/pages/hunting.aspx,Department of Natural Resources,https://dnr.colorado.gov/
Purchase Colorado State Parks gift certificates,https://www.cpwshop.com/giftcertificates.page,Department of Natural Resources,https://dnr.colorado.gov/
Purchase your annual parks pass online,https://www.cpwshop.com/privilegepos.page,Department of Natural Resources,https://dnr.colorado.gov/
Register for electronic funds transfer,https://tax.colorado.gov/electronic-funds-transfer,Department of Revenue,https://tax.colorado.gov/
Register for hazardous waste workshops and training,https://cdphe.colorado.gov/colorado-haz-waste-reg-training,Department of Public Health & Environment,https://cdphe.colorado.gov/
Register for real time alerts from CDOT,http://subscription.cotrip.org/,Department of Transportation,https://www.codot.gov/
Register to vote,https://www.sos.state.co.us/pubs/elections/vote/VoterHome.html?menuheaders=5,Department of State,https://www.sos.state.co.us/
Renew an ag-related license with AgLicense,https://www.ag.state.co.us/elicense/Index.aspx,Department of Agriculture,https://ag.colorado.gov/
Renew your boat registration online,https://cpw.state.co.us/buyapply/Pages/BoatingRegistrations.aspx,Department of Natural Resources,https://dnr.colorado.gov/
"Renew your driver license, permit, or ID online",https://mydmv.colorado.gov/?Link=OnlineRenewal,Department of Revenue,https://dmv.colorado.gov/
Renew your OHV registration online,https://cpw.state.co.us/buyapply/Pages/RegistrationsOHV.aspx,Department of Natural Resources,https://dnr.colorado.gov/
Renew your snowmobile registration online,https://cpw.state.co.us/buyapply/Pages/SnowmobileRegistrations.aspx,Department of Natural Resources,https://dnr.colorado.gov/
Renew your vehicle registration online,https://www.colorado.gov/apps/dor/dmv/vehicle/registration/renewal/welcome.jsf,Department of Transportation,https://dmv.colorado.gov/
Report suspicious activity,https://ciacco.org/default.aspx?menuitemid=61,Department of Public Safety,https://publicsafety.colorado.gov/
Report employer fraud,https://cdle.colorado.gov/fraud-prevention,Department of Labor and Employment,https://cdle.colorado.gov/
Request a biocontrol bug,https://ag.colorado.gov/conservation/biocontrol/request-a-bug,Department of Agriculture,https://ag.colorado.gov/
Request a military retirement letter from the Governor,https://www.colorado.gov/governor/letter-request,Office of the Governor,https://www.colorado.gov/governor
Request information about K-12 education in Colorado,https://www.cde.state.co.us/schoolview,Office of the Governor,https://www.colorado.gov/governor/
Request motor vehicle/powersports records,https://cdor.colorado.gov/auto-industry-cora-request,Department of Revenue,https://cdor.colorado.gov/
Request public records through the Colorado Open Records Act,https://cdor.colorado.gov/cora-request-form,Department of Revenue,https://cdor.colorado.gov/
Revenue Online,https://www.colorado.gov/revenueonline,Department of Revenue,https://cdor.colorado.gov/
Review Colorado Department of Public Safety rules in development,https://publicsafety.colorado.gov/get-involved/rules-and-regulations,Department of Public Safety,https://publicsafety.colorado.gov/
Review limited license draw results and preference point status,http://cpw.state.co.us/thingstodo/Pages/DrawResults_PreferencePoints.aspx,Department of Natural Resources,https://dnr.colorado.gov/
Review resources for commercial pesticide applicators,https://ag.colorado.gov/plants/pesticides,Department of Agriculture,https://ag.colorado.gov/
Safe2Tell,https://safe2tell.org/,Department of Law,https://coag.gov/
Schedule a DMV appointment,https://dmv.colorado.gov/AppointmentScheduling,Department of Revenue,https://dmv.colorado.gov/
SchoolView,https://www.cde.state.co.us/schoolview,Department of Education,https://www.cde.state.co.us/
Search agriculture & livestock statistics,https://www.nass.usda.gov/Statistics_by_State/Colorado/Publications/Annual_Statistical_Bulletin/index.php,Department of Agriculture,https://ag.colorado.gov/
Search for an oil and gas facility,https://cogcc.state.co.us/cogis/FacilitySearch.asp,Department of Natural Resources,https://dnr.colorado.gov/
Search for business records,http://www.sos.state.co.us/biz/BusinessEntityCriteriaExt.do,Department of State,https://www.sos.state.co.us/
Search for oil and gas drilling permits,https://cogcc.state.co.us/permits/,Department of Natural Resources,https://dnr.colorado.gov/
Search for Veterans Service Officers by county,https://vets.colorado.gov/services/county-veterans-service-offices,Department of Military and Veterans Affairs,https://vets.colorado.gov/
Search the Colorado State Publications Library catalog,https://athena.cde.state.co.us/screens/opacmenu_s1.html,Department of Education,https://www.cde.state.co.us/
Search water diversions data,https://dwr.state.co.us/Tools/Structures,Department of Natural Resources,https://dnr.colorado.gov/
Search water rights data,https://dwr.state.co.us/Tools/WaterRights/Transactions,Department of Natural Resources,https://dnr.colorado.gov/
Second Chance,http://www.secondchancetobacco.org/,Department of Public Health & Environment,https://cdphe.colorado.gov/
Sign up for The Scoop e-newsletter,http://state.us5.list-manage.com/subscribe?u=bee6c43ae6102530cf98cadf9&id=ab7e1e5d57,Department of Education,https://www.cde.state.co.us/
Sign up to receive School Safety Newsletter e-mails,https://cdps-m.state.co.us/mailman/listinfo/schoolsafetycenter,Department of Public Safety,https://publicsafety.colorado.gov/
State Demography Office Dashboard,https://dola.colorado.gov/demog_webapps/dashboard.jsf,Department of Human Services,https://cdhs.colorado.gov/
State of Colorado Job Opportunities,https://www.governmentjobs.com/careers/Colorado,Department of Personnel & Administration,https://dpa.colorado.gov/
Subscribe to receive tax news,https://tax.colorado.gov/email-sign-up,Department of Revenue,https://tax.colorado.gov/
Subscribe to Safe2Tell,https://visitor.r20.constantcontact.com/manage/optin?v=001c5nCkPxO9LdrF0AG4XP7-6Erx-M58_jKOd8BjN0900AQE9q4hTBHSH8DoS4MApkLFGMOfWiCOC-Yh9Q_au5aXVJ88rMjEwNN,Department of Law,https://coag.gov/
Access TobaccoFreeCO resources,http://www.tobaccofreeco.org/,Department of Public Health & Environment,https://cdphe.colorado.gov/
Transparency Online Project,https://data.colorado.gov/Government/Transparency-Online-Project-TOPS-State-Government-/rifs-n6ib,Department of Personnel & Administration,https://dpa.colorado.gov/
Vehicle Registration Renewal,http://www.colorado.gov/renewplates,Department of Revenue,https://cdor.colorado.gov/
Verify a Colorado Professional or Business License,https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx,Department of Regulatory Agencies,https://dpo.colorado.gov/
Verify an EMS provider's certification,https://colorado.emsbridge.com/licensure/public/colorado/lookup/,Department of Public Health & Environment,https://cdphe.colorado.gov/
View information for truckers,https://cotrip.org/truckers.htm,Department of Transportation,https://www.codot.gov
"View parks by activities, facilities, accessibility and conditions",http://cpw.state.co.us/placestogo/parks/Pages/parkMap.aspx,Department of Natural Resources,https://dnr.colorado.gov/
View road conditions throughout the state,https://cotrip.org/map.htm#/roadConditions,Department of Transportation,https://www.codot.gov/
View road conditions throughout the state,https://cotrip.org/map.htm#/roadConditions,Department of Transportation,https://www.codot.gov/
View road work throughout the state,https://cotrip.org/map.htm#/roadWork,Department of Transportation,https://www.codot.gov/
View speeds throughout the state,https://cotrip.org/map.htm#/speed,Department of Transportation,https://www.codot.gov/
"View state wildlife areas by county, hunting, fishing, recreation, and GMU",http://cpw.state.co.us/placestogo/parks/Pages/WildlifeAreaMap.aspx,Department of Natural Resources,https://dnr.colorado.gov/
View travel alerts throughout the state,https://cotrip.org/travelAlerts.htm#?roadId=,Department of Transportation,https://www.codot.gov/
View where your tax dollars go with Colorado Tax Tracks,https://apps.colorado.gov/apps/treasury/taxpayer/profile/,Department of Revenue,https://www.colorado.gov/taxtracks/
Workers' Compensation Benefits Calculator,https://dowc.cdle.state.co.us/Benefits/,Department of Labor and Employment,https://cdle.colorado.gov/
Your CDOT Calculator,https://dtdapps.coloradodot.info/otis/YCD/How,Department of Transportation,https://www.codot.gov/
